Year,Month,country,cnt
2001,1,Singapore,2619.0
2001,2,Singapore,2143.0
2001,3,Singapore,2715.0
2001,4,Singapore,2693.0
2001,5,Singapore,2905.0
2001,6,Singapore,3590.0
2001,7,Singapore,2371.0
2001,8,Singapore,2525.0
2001,9,Singapore,2325.0
2001,10,Singapore,2252.0
2001,11,Singapore,2799.0
2001,12,Singapore,3449.0
2002,1,Singapore,2326.0
2002,2,Singapore,2830.0
2002,3,Singapore,2989.0
2002,4,Singapore,2510.0
2002,5,Singapore,2768.0
2002,6,Singapore,3623.0
2002,7,Singapore,2450.0
2002,8,Singapore,2563.0
2002,9,Singapore,2325.0
2002,10,Singapore,2257.0
2002,11,Singapore,2839.0
2002,12,Singapore,3048.0
2003,1,Singapore,1160.0
2003,2,Singapore,2146.0
2003,3,Singapore,1428.0
2003,4,Singapore,1251.0
2003,5,Singapore,1708.0
2003,6,Singapore,4373.0
2003,7,Singapore,2810.0
2003,8,Singapore,2703.0
2003,9,Singapore,3179.0
2003,10,Singapore,2654.0
2003,11,Singapore,3195.0
2003,12,Singapore,2939.0
2004,1,Singapore,3835.0
2004,2,Singapore,3045.0
2004,3,Singapore,3474.0
2004,4,Singapore,3144.0
2004,5,Singapore,2160.0
2004,6,Singapore,3213.0
2004,7,Singapore,2994.0
2004,8,Singapore,3533.0
2004,9,Singapore,3529.0
2004,10,Singapore,3152.0
2004,11,Singapore,3716.0
2004,12,Singapore,5771.0
2005,1,Singapore,3422.0
2005,2,Singapore,3620.0
2005,3,Singapore,4206.0
2005,4,Singapore,3515.0
2005,5,Singapore,3311.0
2005,6,Singapore,5026.0
2005,7,Singapore,3618.0
2005,8,Singapore,3222.0
2005,9,Singapore,3438.0
2005,10,Singapore,3154.0
2005,11,Singapore,2382.0
2005,12,Singapore,3745.0
2006,1,Singapore,3535.0
2006,2,Singapore,2470.0
2006,3,Singapore,3065.0
2006,4,Singapore,3163.0
2006,5,Singapore,2878.0
2006,6,Singapore,4345.0
2006,7,Singapore,3119.0
2006,8,Singapore,2563.0
2006,9,Singapore,2789.0
2006,10,Singapore,2666.0
2006,11,Singapore,3256.0
2006,12,Singapore,4784.0
2007,1,Singapore,2472.0
2007,2,Singapore,3097.0
2007,3,Singapore,3293.0
2007,4,Singapore,2477.0
2007,5,Singapore,2964.0
2007,6,Singapore,4835.0
2007,7,Singapore,3221.0
2007,8,Singapore,3004.0
2007,9,Singapore,3085.0
2007,10,Singapore,2806.0
2007,11,Singapore,5163.0
2007,12,Singapore,4877.0
2008,1,Singapore,2919.0
2008,2,Singapore,2714.0
2008,3,Singapore,3303.0
2008,4,Singapore,2641.0
2008,5,Singapore,3010.0
2008,6,Singapore,3904.0
2008,7,Singapore,3228.0
2008,8,Singapore,3201.0
2008,9,Singapore,2694.0
2008,10,Singapore,2885.0
2008,11,Singapore,3876.0
2008,12,Singapore,6023.0
2009,1,Singapore,3820.0
2009,2,Singapore,2860.0
2009,3,Singapore,4483.0
2009,4,Singapore,3819.0
2009,5,Singapore,3718.0
2009,6,Singapore,5868.0
2009,7,Singapore,3283.0
2009,8,Singapore,3393.0
2009,9,Singapore,3463.0
2009,10,Singapore,4219.0
2009,11,Singapore,5111.0
2009,12,Singapore,6206.0
2010,1,Singapore,3363.0
2010,2,Singapore,3107.0
2010,3,Singapore,3297.0
2010,4,Singapore,2848.0
2010,5,Singapore,3153.0
2010,6,Singapore,3885.0
2010,7,Singapore,2738.0
2010,8,Singapore,2891.0
2010,9,Singapore,3015.0
2010,10,Singapore,3236.0
2010,11,Singapore,3283.0
2010,12,Singapore,3927.0
2011,1,Singapore,2845.0
2011,2,Singapore,2630.0
2011,3,Singapore,3531.0
2011,4,Singapore,3494.0
2011,5,Singapore,3293.0
2011,6,Singapore,5176.0
2011,7,Singapore,3651.0
2011,8,Singapore,2999.0
2011,9,Singapore,3211.0
2011,10,Singapore,3010.0
2011,11,Singapore,5324.0
2011,12,Singapore,6822.0
2012,1,Singapore,4382.0
2012,2,Singapore,3047.0
2012,3,Singapore,5159.0
2012,4,Singapore,4760.0
2012,5,Singapore,4398.0
2012,6,Singapore,5749.0
2012,7,Singapore,4177.0
2012,8,Singapore,4111.0
2012,9,Singapore,4230.0
2012,10,Singapore,4340.0
2012,11,Singapore,4919.0
2012,12,Singapore,6402.0
2013,1,Singapore,3611.0
2013,2,Singapore,4157.0
2013,3,Singapore,5228.0
2013,4,Singapore,4362.0
2013,5,Singapore,4520.0
2013,6,Singapore,6346.0
2013,7,Singapore,3566.0
2013,8,Singapore,3830.0
2013,9,Singapore,4261.0
2013,10,Singapore,3955.0
2013,11,Singapore,4846.0
2013,12,Singapore,6110.0
2014,1,Singapore,4204.0
2014,2,Singapore,3372.0
2014,3,Singapore,4409.0
2014,4,Singapore,3939.0
2014,5,Singapore,4140.0
2014,6,Singapore,4947.0
2014,7,Singapore,3624.0
2014,8,Singapore,3592.0
2014,9,Singapore,3969.0
2014,10,Singapore,3771.0
2014,11,Singapore,3891.0
2014,12,Singapore,5201.0
2015,1,Singapore,2870.0
2015,2,Singapore,3856.0
2015,3,Singapore,3939.0
2015,4,Singapore,3757.0
2015,5,Singapore,3688.0
2015,6,Singapore,4791.0
2015,7,Singapore,3208.0
2015,8,Singapore,3037.0
2015,9,Singapore,3423.0
2015,10,Singapore,2698.0
2015,11,Singapore,2890.0
2015,12,Singapore,4670.0
2016,1,Singapore,2727.0
2016,2,Singapore,3483.0
2016,3,Singapore,3759.0
2016,4,Singapore,2878.0
2016,5,Singapore,2993.0
2016,6,Singapore,3633.0
2016,7,Singapore,2745.0
2016,8,Singapore,3313.0
2016,9,Singapore,3352.0
2016,10,Singapore,3061.0
2016,11,Singapore,3512.0
2016,12,Singapore,4753.0
2017,1,Singapore,3661.0
2017,2,Singapore,2692.0
2017,3,Singapore,3952.0
2017,4,Singapore,3061.0
2017,5,Singapore,2054.0
2017,6,Singapore,4093.0
2017,7,Singapore,2967.0
2017,8,Singapore,3442.0
2017,9,Singapore,4144.0
2017,10,Singapore,3090.0
2017,11,Singapore,4105.0
